home_team,away_team,home_team_continent,away_team_continent,home_team_fifa_rank,away_team_fifa_rank,home_team_score,away_team_score,tournament,city,neutral_location,shoot_out,home_team_result
Dominican Republic,Haiti,North America,North America,152,145,0,1,CFU Caribbean Cup qualification,Santo Domingo,FALSE,No,Lose
USA,Korea Republic,North America,Asia,21,42,1,1,Friendly,Fullerton,FALSE,No,Draw
Zambia,Zimbabwe,Africa,Africa,30,46,2,1,Friendly,Lusaka,FALSE,No,Win
Israel,Ukraine,Europe,Europe,54,90,1,0,Friendly,Haifa,FALSE,No,Win
Egypt,Cameroon,Africa,Africa,25,26,0,0,Friendly,Cairo,FALSE,No,Draw
Tunisia,Niger,Africa,Africa,32,80,4,2,Friendly,Tunis,FALSE,No,Win
Angola,Gabon,Africa,Africa,124,61,2,1,Friendly,Luanda,FALSE,No,Win
France,Chile,Europe,South America,15,55,3,1,Friendly,Lyon,FALSE,No,Win
Austria,Hungary,Europe,Europe,35,52,1,1,Friendly,Linz,FALSE,No,Draw
Brazil,Argentina,South America,South America,2,8,2,0,Friendly,Recife,FALSE,No,Win
Germany,Italy,Europe,Europe,1,11,2,1,Friendly,Stuttgart,FALSE,No,Win
Greece,Poland,Europe,Europe,34,24,0,0,Friendly,Salonica,FALSE,No,Draw
Republic of Ireland,Russia,Europe,Europe,13,16,0,0,Friendly,Dublin,FALSE,No,Draw
Luxembourg,Morocco,Europe,Africa,116,29,1,2,Friendly,Luxembourg,FALSE,No,Lose
Northern Ireland,Romania,Europe,Europe,42,10,2,0,Friendly,Belfast,FALSE,No,Win
Scotland,Netherlands,Europe,Europe,30,9,0,1,Friendly,Glasgow,FALSE,No,Lose
Spain,Croatia,Europe,Europe,6,125,0,2,Friendly,Valencia,FALSE,No,Lose
Nigeria,Gabon,Africa,Africa,18,61,3,0,African Cup of Nations,Tunis,TRUE,No,Win
Saudi Arabia,Chile,Asia,South America,36,55,0,2,Friendly,Riyadh,FALSE,No,Lose
Tunisia,Mali,Africa,Africa,32,57,0,2,African Cup of Nations,Tunis,FALSE,No,Lose
USA,Bolivia,North America,South America,21,56,2,2,Friendly,Dallas,FALSE,No,Draw
Ghana,Guinea,Africa,Africa,31,62,1,0,African Cup of Nations,Sousse,TRUE,No,Win
Côte d'Ivoire,Sierra Leone,Africa,Africa,28,73,4,0,African Cup of Nations,Sousse,TRUE,No,Win
Egypt,Gabon,Africa,Africa,25,61,4,0,African Cup of Nations,Tunis,TRUE,No,Win
